,t,y_sidebyside,ym_sidebyside,u_sidebyside,q_sidebyside,qm_sidebyside,m_sidebyside,Mm_sidebyside,h_sidebyside,hm_sidebyside
373,74.8,340.471929824561,341.38232228096246,7.81929687500002,0.163144294132224,0.16321559010291076,465.231992022524,467.9119105549703,9.91506886124369,9.92335841172428
374,75.0,340.686607142857,341.3758576297929,7.81929687500002,0.163246073523887,0.16308388392538892,465.745399048899,463.8300955347065,9.9487821942699,9.921065672438207
375,75.2,340.868695652173,341.3709053105177,7.81929687500002,0.163214040125144,0.1632884551915081,465.819499032087,466.91973716330386,9.94245465171301,9.93979406203185
376,75.4,340.8,341.3672736504608,7.81929687500002,0.163221487644292,0.16310883042197913,466.060347205511,464.47723147151675,9.93297007599004,9.941237021844776
377,75.60000000000001,340.884821428571,341.3632016981809,7.81929687500002,0.163200614712537,0.1632558982744128,466.489174441119,466.9106615778729,9.90130179960504,9.935245709361787
378,75.8,340.8,341.3597554648846,7.81929687500002,0.163143340929044,0.16323613333404047,466.489174441119,467.0759212567571,9.89216714091244,9.916952255183306
379,76.0,340.629824561403,341.35577774529787,7.81929687500002,0.163167078877404,0.1631711271466154,464.930891803856,464.96389985136824,9.93756691498136,9.90501309969706
380,76.2,340.860869565217,341.3506972502386,7.81929687500002,0.163218183277626,0.16318888270356072,464.930891803856,465.0278385575159,9.89994841761238,9.935679557051042
381,76.4,340.666371681415,341.34721887022954,7.81929687500002,0.163192204849982,0.1631548185258622,465.033129093575,466.18415930848784,9.89990026908774,9.918123022447057
382,76.60000000000001,340.787068965517,341.3424743429203,7.81929687500002,0.16318950028792,0.16321204559133506,465.78530343937,462.7671609715427,9.93880608330612,9.9100885153579
383,76.80000000000001,340.958260869565,341.33858406343745,7.81929687500002,0.163195590890143,0.16322060336475733,465.78530343937,466.9364754853493,9.91621026686391,9.934711337048437
384,77.0,340.926724137931,341.3358637578764,7.81929687500002,0.163222006268224,0.16312556374248732,466.291079812206,466.24242682047566,9.89535978809049,9.927006999603378
385,77.2,340.823076923076,341.33297075395836,7.81929687500002,0.163192655814984,0.1632627296004287,466.291079812206,466.07148051023535,9.93119163420017,9.91179300781887
386,77.4,340.806896551724,341.3294489662718,7.81929687500002,0.163200945315787,0.16323988231429362,465.773318579536,466.3934642840122,9.92208702038762,9.930018133365554
387,77.60000000000001,340.774358974358,341.3258837516898,7.81929687500002,0.163160068614356,0.1631564640879715,465.689639996479,466.9485824188988,9.90912398593787,9.928847949747567
388,77.80000000000001,340.940869565217,341.3221516055504,7.81929687500002,0.163276776849765,0.16315648855989748,466.091203031161,464.82951074301366,9.92954249639808,9.920785058497673
389,78.0,340.924324324324,341.3195174633568,7.81929687500002,0.16324898412651,0.16328815582299738,466.994719859196,465.51391687282415,9.92481756161786,9.929741766843478
390,78.2,341.086725663716,341.31681209003915,7.81929687500002,0.163293529797493,0.1632218796900221,466.994719859196,467.57068443531836,9.90046654745299,9.929790874783617
391,78.4,340.603448275862,341.31515899299154,7.81929687500002,0.163302179615415,0.1633201244321742,466.869604327824,467.67916719854054,9.906968085621,9.916076874936046
392,78.60000000000001,340.855357142857,341.3105741699227,7.81929687500002,0.163360426805061,0.1633278244460554,466.728270116459,465.88907229422097,9.9399006721365,9.914636857084004
393,78.80000000000001,340.724347826086,341.30757739125124,7.81929687500002,0.163282346970489,0.16337408436014506,466.728270116459,467.79371209814786,9.91037831426093,9.935433924908654
394,79.0,341.1,341.3038257687787,7.81929687500002,0.163403432623765,0.1631817405310713,466.140623625003,465.4761260607911,9.95123399379471,9.924524114047024
395,79.2,340.793913043478,341.3024437327907,7.81929687500002,0.163345101452911,0.16346737752382226,466.140623625003,466.33140522113933,9.92372954305316,9.938065729187317
396,79.4,340.8,341.29919557298393,7.81929687500002,0.163400802653576,0.16328294737732316,465.594015840422,466.9862277837852,9.893373068325,9.934254915582798
397,79.60000000000001,341.023684210526,341.29602707096944,7.81929687500002,0.163375910348721,0.1634794473182231,465.594015840422,466.5238944621373,9.89784542688494,9.91577051095
398,79.80000000000001,340.604385964912,341.2942187231951,7.81929687500002,0.163400533695705,0.16337097905950743,465.594015840422,462.8954894204586,9.88415198170972,9.910353574820173
399,80.0,340.827826086956,341.2899301745385,7.81929687500002,0.163451968312217,0.16339598917399736,466.673510691344,465.7636087431413,9.92047809619015,9.897011082068708
400,80.2,340.93220338983,341.2870185859184,7.81929687500002,0.163441220231069,0.1634959922571351,466.673510691344,467.30328290999825,9.9319981738926,9.919353611663333
401,80.4,340.980341880341,341.2847446775386,7.81929687500002,0.163432353046062,0.16334595442016578,466.077540613019,465.87383290185016,9.94380832693454,9.932199691012915
